#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
121223	IPR008927	6-phosphogluconate dehydrogenase, C-terminal-like	SUPERFAMILY	SSF48179	\N	1	241,	396,	2.89E-42
121223	\N	\N	SUPERFAMILY	SSF51735	\N	1	44,	242,	2.57E-37
121223	IPR017751	Glycerol-3-phosphate dehydrogenase, NAD-dependent, eukaryotic	TIGRFAM	TIGR03376	glycerol3P_DH: glycerol-3-phosphate dehydrogenase (NAD(+))	1	45,	393,	1.9E-168
121226	\N	\N	HMMPfam	PF15341	Ribosome biogenesis protein SLX9	1	101,	188,	3.6E-12
121227	IPR013875	Mitochondrial import protein Pam17	HMMPfam	PF08566	Mitochondrial import protein Pam17	1	33,	184,	7.9E-61
121228	IPR013180	Beta-catenin-like protein 1, N-terminal	HMMPfam	PF08216	Catenin-beta-like, Arm-motif containing nuclear	1	54,	150,	1.3E-16
121228	IPR016024	Armadillo-type fold	SUPERFAMILY	SSF48371	\N	1	103,	446,	1.94E-12
121229	IPR013260	mRNA splicing factor SYF2	HMMPfam	PF08231	SYF2 splicing factor	1	83,	227,	3.2E-43
121230	IPR021858	Protein of unknown function DUF3468	HMMPfam	PF11951	Fungal specific transcription factor domain	1	87,	431,	5.7E-7
121232	IPR002529	Fumarylacetoacetase, C-terminal	HMMPfam	PF01557	Fumarylacetoacetate (FAA) hydrolase family	1	82,	288,	6.8E-56
121232	IPR011234	Fumarylacetoacetase, C-terminal-related	SUPERFAMILY	SSF56529	\N	1	76,	288,	9.94E-69
121236	IPR002935	O-methyltransferase, family 3	HMMPfam	PF01596	O-methyltransferase	1	46,	201,	1.2E-15
121236	IPR002935	O-methyltransferase, family 3	ProSiteProfiles	PS51682	SAM-dependent O-methyltransferase class I-type profile.	1	16,	233,	36.859
121236	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase	SUPERFAMILY	SSF53335	\N	1	53,	211,	1.26E-27
121251	IPR014810	Fcf2 pre-rRNA processing	HMMPfam	PF08698	Fcf2 pre-rRNA processing	1	210,	306,	1.3E-37
121252	IPR018957	Zinc finger, C3HC4 RING-type	HMMPfam	PF00097	Zinc finger, C3HC4 type (RING finger)	1	41,	92,	1.9E-4
121252	IPR017907	Zinc finger, RING-type, conserved site	ProSitePatterns	PS00518	Zinc finger RING-type signature.	1	57,	66,	-
121252	IPR001841	Zinc finger, RING-type	ProSiteProfiles	PS50089	Zinc finger RING-type profile.	1	41,	92,	11.029
121252	IPR001841	Zinc finger, RING-type	SMART	SM00184	Ring finger	1	41,	92,	1.3E-6
121252	\N	\N	SUPERFAMILY	SSF57850	\N	1	29,	94,	2.35E-9
121253	IPR003958	Transcription factor CBF/NF-Y/archaeal histone	HMMPfam	PF00808	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	1	91,	154,	3.4E-19
121253	IPR009072	Histone-fold	SUPERFAMILY	SSF47113	\N	1	19,	163,	3.19E-37
121255	IPR018108	Mitochondrial substrate/solute carrier	HMMPfam	PF00153	Mitochondrial carrier protein	3	34,129,231,	114,221,312,	1.4E-20,7.6E-19,3.4E-16
121255	IPR018108	Mitochondrial substrate/solute carrier	ProSiteProfiles	PS50920	Solute carrier (Solcar) repeat profile.	3	32,127,228,	112,218,314,	23.8,21.483,18.179
121255	IPR023395	Mitochondrial carrier domain	SUPERFAMILY	SSF103506	\N	1	29,	311,	5.89E-70
121257	IPR008914	Phosphatidylethanolamine-binding protein PEBP	HMMPfam	PF01161	Phosphatidylethanolamine-binding protein	1	80,	235,	1.1E-29
121257	IPR001858	Phosphatidylethanolamine-binding, conserved site	ProSitePatterns	PS01220	Phosphatidylethanolamine-binding protein family signature.	1	121,	143,	-
121257	IPR008914	Phosphatidylethanolamine-binding protein PEBP	SUPERFAMILY	SSF49777	\N	1	54,	240,	4.84E-48
121262	IPR022816	Condensin complex subunit 2/barren	HMMPfam	PF05786	Condensin complex subunit 2	1	1,	506,	7.8E-136
121264	IPR001373	Cullin, N-terminal	HMMPfam	PF00888	Cullin family	1	27,	676,	4.9E-118
121264	IPR019559	Cullin protein, neddylation domain	HMMPfam	PF10557	Cullin protein neddylation domain	1	705,	771,	9.2E-29
121264	IPR016157	Cullin, conserved site	ProSitePatterns	PS01256	Cullin family signature.	1	751,	778,	-
121264	IPR016158	Cullin homology	ProSiteProfiles	PS50069	Cullin family profile.	1	406,	646,	43.688
121264	IPR016158	Cullin homology	SMART	SM00182	Cullin	1	436,	594,	5.5E-38
121264	IPR019559	Cullin protein, neddylation domain	SMART	SM00884	Cullin protein neddylation domain	1	705,	772,	6.1E-36
121264	\N	\N	SUPERFAMILY	SSF46785	\N	1	691,	778,	4.29E-26
121264	IPR016159	Cullin repeat-like-containing domain	SUPERFAMILY	SSF74788	\N	1	23,	405,	3.66E-74
121264	IPR016158	Cullin homology	SUPERFAMILY	SSF75632	\N	1	400,	684,	2.09E-75
121266	IPR000490	Glycoside hydrolase, family 17	HMMPfam	PF00332	Glycosyl hydrolases family 17	1	22,	310,	3.9E-53
121266	IPR000490	Glycoside hydrolase, family 17	ProSitePatterns	PS00587	Glycosyl hydrolases family 17 signature.	1	222,	235,	-
121266	IPR017853	Glycoside hydrolase superfamily	SUPERFAMILY	SSF51445	\N	1	31,	310,	3.38E-57
121267	IPR000608	Ubiquitin-conjugating enzyme E2	HMMPfam	PF00179	Ubiquitin-conjugating enzyme	1	3,	138,	2.4E-35
121267	IPR023313	Ubiquitin-conjugating enzyme, active site	ProSitePatterns	PS00183	Ubiquitin-conjugating enzymes active site.	1	72,	88,	-
121267	IPR000608	Ubiquitin-conjugating enzyme E2	ProSiteProfiles	PS50127	Ubiquitin-conjugating enzymes family profile.	1	1,	135,	31.286
121267	\N	\N	SMART	SM00212	Ubiquitin-conjugating enzyme E2, catalytic domain homologues	1	1,	146,	5.8E-35
121267	IPR016135	Ubiquitin-conjugating enzyme/RWD-like	SUPERFAMILY	SSF54495	\N	1	2,	146,	4.94E-43
121268	IPR000358	Ribonucleotide reductase small subunit	HMMPfam	PF00268	Ribonucleotide reductase, small chain	1	78,	359,	2.2E-122
121268	IPR030475	Ribonucleotide reductase small subunit, acitve site	ProSitePatterns	PS00368	Ribonucleotide reductase small subunit signature.	1	176,	192,	-
121268	IPR009078	Ferritin-like superfamily	SUPERFAMILY	SSF47240	\N	1	40,	360,	1.95E-120
121270	IPR019623	Chaperone, endoplasmic reticulum protein-folding, fungi	HMMPfam	PF10681	Chaperone for protein-folding within the ER, fungal	1	31,	243,	8.8E-95
121270	IPR019623	Chaperone, endoplasmic reticulum protein-folding, fungi	PIRSF	PIRSF017290	\N	1	3,	248,	248.0
121272	IPR003126	Zinc finger, N-recognin	HMMPfam	PF02207	Putative zinc finger in N-recognin (UBR box)	1	82,	153,	5.1E-19
121272	IPR003126	Zinc finger, N-recognin	ProSiteProfiles	PS51157	Zinc finger UBR-type profile.	1	81,	154,	10.396
121272	IPR013993	Zinc finger, N-recognin, metazoa	SMART	SM00396	Putative zinc finger in N-recognin, a recognition component of the N-end rule pathway	1	81,	153,	4.7E-28
121272	\N	\N	SUPERFAMILY	SSF46785	\N	1	911,	997,	1.14E-8
121273	IPR013877	YAP-binding/ALF4/Glomulin	HMMPfam	PF08568	Uncharacterised protein family, YAP/Alf4/glomulin	1	63,	672,	4.0E-172
121275	IPR009292	Protein of unknown function DUF947	HMMPfam	PF06102	Domain of unknown function (DUF947)	1	97,	273,	3.5E-52
121283	IPR002569	Peptide methionine sulphoxide reductase MsrA	HMMPfam	PF01625	Peptide methionine sulfoxide reductase	1	22,	176,	6.3E-53
121283	IPR002569	Peptide methionine sulphoxide reductase MsrA	SUPERFAMILY	SSF55068	\N	1	13,	179,	8.24E-58
121283	IPR002569	Peptide methionine sulphoxide reductase MsrA	TIGRFAM	TIGR00401	msrA: peptide-methionine (S)-S-oxide reductase	1	22,	172,	6.5E-53
121284	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	1,	42,	12.014
121284	IPR001810	F-box domain	SMART	SM00256	A Receptor for Ubiquitination Targets	1	2,	42,	0.001
121284	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	2,	71,	9.32E-9
121285	IPR016071	Staphylococcal nuclease (SNase-like), OB-fold	HMMPfam	PF00565	Staphylococcal nuclease homologue	4	27,193,338,504,	130,298,444,602,	9.1E-8,8.2E-12,5.4E-11,3.6E-17
121285	IPR002999	Tudor domain	HMMPfam	PF00567	Tudor domain	1	627,	737,	1.9E-10
121285	IPR016685	RNA-induced silencing complex, nuclease component Tudor-SN	PIRSF	PIRSF017179	\N	1	1,	863,	897.0
121285	IPR016071	Staphylococcal nuclease (SNase-like), OB-fold	ProSiteProfiles	PS50830	Thermonuclease domain profile.	4	1,162,317,476,	132,299,447,602,	24.857,23.308,20.249,27.361
121285	IPR016071	Staphylococcal nuclease (SNase-like), OB-fold	SMART	SM00318	Staphylococcal nuclease homologues	4	4,162,317,476,	132,299,447,602,	7.5E-18,2.9E-23,2.2E-17,4.6E-32
121285	IPR002999	Tudor domain	SMART	SM00333	Tudor domain	1	680,	738,	5.3E-5
121285	IPR016071	Staphylococcal nuclease (SNase-like), OB-fold	SUPERFAMILY	SSF50199	\N	5	3,161,315,472,716,	133,299,453,602,860,	1.7E-21,2.62E-24,3.4E-26,4.84E-25,6.15E-9
121285	\N	\N	SUPERFAMILY	SSF63748	\N	1	674,	739,	2.56E-7
121288	IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	HMMPfam	PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	1	167,	386,	1.6E-63
121288	IPR000793	ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal	HMMPfam	PF00306	ATP synthase alpha/beta chain, C terminal domain	1	399,	502,	2.7E-25
121288	IPR004100	ATPase, F1 complex alpha/beta subunit, N-terminal domain	HMMPfam	PF02874	ATP synthase alpha/beta family, beta-barrel domain	1	45,	111,	6.0E-24
121288	\N	\N	PIRSF	PIRSF039072	\N	1	10,	509,	551.0
121288	IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site	ProSitePatterns	PS00152	ATP synthase alpha and beta subunits signature.	1	377,	386,	-
121288	IPR003593	AAA+ ATPase domain	SMART	SM00382	ATPases associated with a variety of cellular activities	1	180,	449,	5.4E-6
121288	IPR000793	ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal	SUPERFAMILY	SSF47917	\N	1	389,	504,	4.19E-51
121288	IPR004100	ATPase, F1 complex alpha/beta subunit, N-terminal domain	SUPERFAMILY	SSF50615	\N	1	38,	113,	6.8E-26
121288	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	1	115,	390,	5.87E-90
121288	IPR005722	ATPase, F1 complex, beta subunit	TIGRFAM	TIGR01039	atpD: ATP synthase F1, beta subunit	1	40,	504,	1.5E-253
121292	IPR011701	Major facilitator superfamily	HMMPfam	PF07690	Major Facilitator Superfamily	1	97,	370,	1.9E-25
121292	IPR020846	Major facilitator superfamily domain	ProSiteProfiles	PS50850	Major facilitator superfamily (MFS) profile.	1	70,	463,	14.929
121292	IPR020846	Major facilitator superfamily domain	SUPERFAMILY	SSF103473	\N	1	52,	459,	7.59E-63
121295	IPR002014	VHS	HMMPfam	PF00790	VHS domain	1	9,	144,	3.9E-40
121295	IPR000306	FYVE zinc finger	HMMPfam	PF01363	FYVE zinc finger	1	173,	230,	5.9E-16
121295	IPR003903	Ubiquitin interacting motif	HMMPfam	PF02809	Ubiquitin interaction motif	2	261,292,	278,306,	6.0E-5,7.2
121295	IPR017073	Ubiquitin binding protein, Hrs/VPS27	PIRSF	PIRSF036956	\N	1	4,	564,	573.0
121295	IPR017455	Zinc finger, FYVE-related	ProSiteProfiles	PS50178	Zinc finger FYVE/FYVE-related type profile.	1	170,	230,	11.515
121295	IPR002014	VHS	ProSiteProfiles	PS50179	VHS domain profile.	1	19,	148,	37.853
121295	IPR003903	Ubiquitin interacting motif	ProSiteProfiles	PS50330	Ubiquitin-interacting motif (UIM) repeat profile.	2	262,293,	279,312,	10.211,9.32
121295	IPR000306	FYVE zinc finger	SMART	SM00064	Protein present in Fab1, YOTB, Vac1, and EEA1	1	165,	231,	5.1E-23
121295	IPR018205	VHS subgroup	SMART	SM00288	Domain present in VPS-27, Hrs and STAM	1	10,	144,	1.4E-46
121295	IPR003903	Ubiquitin interacting motif	SMART	SM00726	Ubiquitin-interacting motif.	2	262,293,	281,312,	0.022,5.8
121295	IPR008942	ENTH/VHS	SUPERFAMILY	SSF48464	\N	1	2,	148,	6.15E-43
121295	IPR011011	Zinc finger, FYVE/PHD-type	SUPERFAMILY	SSF57903	\N	1	170,	230,	2.06E-17
121296	IPR001453	MoaB/Mog domain	HMMPfam	PF00994	Probable molybdopterin binding domain	1	29,	210,	5.4E-40
121296	IPR001453	MoaB/Mog domain	SMART	SM00852	Probable molybdopterin binding domain	1	28,	211,	2.6E-29
121296	IPR001453	MoaB/Mog domain	SUPERFAMILY	SSF53218	\N	2	28,184,	152,244,	8.51E-36,8.51E-36
121298	IPR021148	Putative polysaccharide biosynthesis protein	HMMPfam	PF04669	Polysaccharide biosynthesis	1	17,	145,	4.7E-25
121299	\N	\N	SUPERFAMILY	SSF54928	\N	1	120,	208,	2.66E-6
121300	IPR003959	ATPase, AAA-type, core	HMMPfam	PF07724	AAA domain (Cdc48 subfamily)	1	191,	413,	1.6E-35
121300	IPR019489	Clp ATPase, C-terminal	HMMPfam	PF10431	C-terminal, D2-small domain, of ClpB protein	1	420,	484,	4.0E-5
121300	IPR003593	AAA+ ATPase domain	SMART	SM00382	ATPases associated with a variety of cellular activities	1	190,	331,	7.5E-7
121300	IPR019489	Clp ATPase, C-terminal	SMART	SM01086	C-terminal, D2-small domain, of ClpB protein	1	420,	505,	4.0E-13
121300	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	2	99,163,	132,491,	1.06E-46,1.06E-46
121301	IPR018164	Alanyl-tRNA synthetase, class IIc, N-terminal	HMMPfam	PF01411	tRNA synthetases class II (A)	1	31,	614,	9.1E-214
121301	IPR012947	Threonyl/alanyl tRNA synthetase, SAD	HMMPfam	PF07973	Threonyl and Alanyl tRNA synthetase second additional domain	1	713,	772,	1.0E-17
121301	IPR002318	Alanine-tRNA ligase, class IIc	PRINTS	PR00980	Alanyl-tRNA synthetase signature	5	106,236,263,320,344,	117,247,276,336,357,	2.02E-31,2.02E-31,2.02E-31,2.02E-31,2.02E-31
121301	IPR018165	Alanyl-tRNA synthetase, class IIc, core domain	ProSiteProfiles	PS50860	Alanyl-transfer RNA synthetases family profile.	1	27,	785,	121.084
121301	IPR012947	Threonyl/alanyl tRNA synthetase, SAD	SMART	SM00863	Threonyl and Alanyl tRNA synthetase second additional domain	1	713,	772,	5.6E-21
121301	IPR018162	Alanine-tRNA ligase, class IIc, anti-codon-binding domain	SUPERFAMILY	SSF101353	\N	1	283,	489,	1.7E-56
121301	IPR009000	Translation protein, beta-barrel domain	SUPERFAMILY	SSF50447	\N	1	543,	608,	2.68E-13
121301	IPR018163	Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain	SUPERFAMILY	SSF55186	\N	1	615,	779,	3.92E-41
121301	\N	\N	SUPERFAMILY	SSF55681	\N	1	29,	282,	2.49E-95
121301	IPR002318	Alanine-tRNA ligase, class IIc	TIGRFAM	TIGR00344	alaS: alanine--tRNA ligase	1	31,	956,	3.6E-283
121303	IPR001734	Sodium/solute symporter	HMMPfam	PF00474	Sodium:solute symporter family	1	47,	449,	2.3E-18
121303	IPR001734	Sodium/solute symporter	ProSiteProfiles	PS50283	Sodium:solute symporter family profile.	1	11,	477,	34.388
121303	IPR019900	Sodium/solute symporter, subgroup	TIGRFAM	TIGR00813	sss: transporter, solute:sodium symporter (SSS) family	1	46,	452,	3.3E-72
121304	IPR000552	Ribosomal protein L44e	HMMPfam	PF00935	Ribosomal protein L44	1	19,	94,	3.7E-33
121304	IPR000552	Ribosomal protein L44e	ProSitePatterns	PS01172	Ribosomal protein L44e signature.	1	63,	74,	-
121304	IPR011332	Zinc-binding ribosomal protein	SUPERFAMILY	SSF57829	\N	1	2,	94,	1.08E-35
121317	IPR013021	Myo-inositol-1-phosphate synthase, GAPDH-like	HMMPfam	PF01658	Myo-inositol-1-phosphate synthase	1	325,	440,	2.5E-44
121317	IPR002587	Myo-inositol-1-phosphate synthase	HMMPfam	PF07994	Myo-inositol-1-phosphate synthase	1	75,	512,	1.4E-118
121317	IPR002587	Myo-inositol-1-phosphate synthase	PIRSF	PIRSF015578	\N	1	63,	529,	430.0
121317	\N	\N	SUPERFAMILY	SSF51735	\N	2	20,438,	323,528,	6.62E-168,6.62E-168
121317	\N	\N	SUPERFAMILY	SSF55347	\N	1	324,	438,	2.09E-40
121318	IPR003439	ABC transporter-like	HMMPfam	PF00005	ABC transporter	2	496,738,	625,969,	2.7E-18,2.8E-26
121318	IPR023780	Chromo domain	HMMPfam	PF00385	Chromo (CHRromatin Organisation MOdifier) domain	1	851,	901,	1.0E-7
121318	IPR017871	ABC transporter, conserved site	ProSitePatterns	PS00211	ABC transporters family signature.	2	597,941,	611,955,	-,-
121318	IPR003439	ABC transporter-like	ProSiteProfiles	PS50893	ATP-binding cassette, ABC transporter-type domain profile.	2	479,721,	695,1037,	12.125,13.739
121318	IPR000953	Chromo/chromo shadow domain	SMART	SM00298	Chromatin organization modifier domain	1	849,	904,	2.3E-5
121318	IPR003593	AAA+ ATPase domain	SMART	SM00382	ATPases associated with a variety of cellular activities	2	505,747,	678,1014,	3.8E-9,1.4E-6
121318	IPR016024	Armadillo-type fold	SUPERFAMILY	SSF48371	\N	3	87,620,769,	386,693,815,	7.68E-27,7.68E-27,7.68E-27
121318	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	2	479,727,	678,1019,	5.66E-38,1.73E-35
121323	IPR004841	Amino acid permease/ SLC12A domain	HMMPfam	PF00324	Amino acid permease	1	76,	551,	3.2E-54
121325	IPR004843	Calcineurin-like phosphoesterase domain, apaH type	HMMPfam	PF00149	Calcineurin-like phosphoesterase	1	57,	294,	6.2E-16
121325	IPR029052	Metallo-dependent phosphatase-like	SUPERFAMILY	SSF56300	\N	1	55,	343,	2.4E-20
121327	IPR019263	Inorganic phosphate transporter Pho88	HMMPfam	PF10032	Phosphate transport (Pho88)	1	2,	192,	3.7E-84
121327	IPR012098	Inorganic phosphate transporter Pho88, fungi	PIRSF	PIRSF008756	\N	1	1,	192,	189.0
121329	IPR013950	Kinetochore Mis14	HMMPfam	PF08641	Kinetochore protein Mis14 like	1	60,	170,	8.0E-26
121333	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	292,	324,	8.2E-9
121333	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	293,	321,	-
121333	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	293,	321,	10.887
121333	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SMART	SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	1	288,	328,	2.1E-5
121333	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	282,	324,	1.96E-10
121345	IPR019460	Autophagy-related protein 11	HMMPfam	PF10377	Autophagy-related protein 11	1	793,	923,	3.9E-40
121348	IPR004813	Oligopeptide transporter, OPT superfamily	HMMPfam	PF03169	OPT oligopeptide transporter protein	1	1,	282,	3.8E-66
121348	IPR004813	Oligopeptide transporter, OPT superfamily	TIGRFAM	TIGR00728	OPT_sfam: oligopeptide transporter, OPT superfamily	1	1,	284,	1.4E-49
121350	IPR025340	Protein of unknown function DUF4246	HMMPfam	PF14033	Protein of unknown function (DUF4246)	1	103,	571,	2.9E-142
121362	IPR000719	Protein kinase domain	HMMPfam	PF00069	Protein kinase domain	2	32,203,	156,348,	1.0E-15,4.8E-26
121362	IPR017441	Protein kinase, ATP binding site	ProSitePatterns	PS00107	Protein kinases ATP-binding region signature.	1	37,	59,	-
121362	IPR008271	Serine/threonine-protein kinase, active site	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	1	202,	214,	-
121362	IPR000719	Protein kinase domain	ProSiteProfiles	PS50011	Protein kinase domain profile.	1	31,	355,	36.188
121362	IPR002290	Serine/threonine/dual specificity protein kinase, catalytic  domain	SMART	SM00220	Serine/Threonine protein kinases, catalytic domain	1	31,	355,	4.2E-38
121362	IPR011009	Protein kinase-like domain	SUPERFAMILY	SSF56112	\N	2	24,202,	155,348,	6.98E-58,6.98E-58
121363	IPR013880	Yos1-like	HMMPfam	PF08571	Yos1-like	1	6,	84,	6.7E-31
121365	IPR000268	DNA-directed RNA polymerase, subunit N/Rpb10	HMMPfam	PF01194	RNA polymerases N / 8 kDa subunit	1	1,	60,	3.1E-31
121365	IPR000268	DNA-directed RNA polymerase, subunit N/Rpb10	PIRSF	PIRSF005653	\N	1	1,	70,	65.0
121365	IPR020789	RNA polymerases, subunit N, zinc binding site	ProSitePatterns	PS01112	RNA polymerases N / 8 Kd subunits signature.	1	2,	11,	-
121365	IPR023580	RNA polymerase subunit RPB10	SUPERFAMILY	SSF46924	\N	1	1,	63,	1.28E-28
121367	IPR001680	WD40 repeat	ProSiteProfiles	PS50082	Trp-Asp (WD) repeats profile.	1	325,	366,	11.411
121367	IPR017986	WD40-repeat-containing domain	ProSiteProfiles	PS50294	Trp-Asp (WD) repeats circular profile.	1	325,	366,	10.865
121367	IPR001680	WD40 repeat	SMART	SM00320	WD40 repeats	3	318,489,560,	357,543,602,	0.0046,360.0,450.0
121367	IPR017986	WD40-repeat-containing domain	SUPERFAMILY	SSF50978	\N	4	21,269,433,561,	97,400,602,790,	1.95E-21,1.95E-21,1.95E-21,1.39E-6
121371	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	HMMPfam	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	1	309,	470,	7.9E-22
121371	IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	SUPERFAMILY	SSF47203	\N	1	315,	473,	8.38E-33
121371	IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain	SUPERFAMILY	SSF56645	\N	2	83,234,	202,318,	6.95E-19,6.95E-19
121372	IPR002871	NIF system FeS cluster assembly, NifU, N-terminal	HMMPfam	PF01592	NifU-like N terminal domain	1	37,	161,	2.9E-52
121372	\N	\N	SUPERFAMILY	SSF82649	\N	1	37,	160,	2.07E-47
121372	IPR011339	ISC system FeS cluster assembly, IscU scaffold	TIGRFAM	TIGR01999	iscU: FeS cluster assembly scaffold IscU	1	37,	160,	2.5E-69
121374	IPR018809	Protein of unknown function DUF2406	HMMPfam	PF10295	Uncharacterised protein (DUF2406)	1	63,	126,	3.2E-23
121377	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	21,	51,	1.5E-7
121377	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	21,	49,	-
121377	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	21,	51,	11.052
121377	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SMART	SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	1	16,	60,	1.2E-6
121377	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	11,	54,	2.09E-9
121379	IPR007484	Peptidase M28	HMMPfam	PF04389	Peptidase family M28	1	200,	382,	1.8E-29
121379	\N	\N	SUPERFAMILY	SSF53187	\N	1	119,	400,	1.28E-68
121380	IPR001128	Cytochrome P450	HMMPfam	PF00067	Cytochrome P450	1	51,	513,	1.9E-87
121380	IPR001128	Cytochrome P450	PRINTS	PR00385	P450 superfamily signature	4	301,358,457,466,	318,369,466,477,	2.0E-7,2.0E-7,2.0E-7,2.0E-7
121380	IPR002403	Cytochrome P450, E-class, group IV	PRINTS	PR00465	E-class P450 group IV signature	7	48,70,292,353,388,450,466,	65,93,318,369,402,466,484,	4.5E-47,4.5E-47,4.5E-47,4.5E-47,4.5E-47,4.5E-47,4.5E-47
121380	IPR017972	Cytochrome P450, conserved site	ProSitePatterns	PS00086	Cytochrome P450 cysteine heme-iron ligand signature.	1	459,	468,	-
121380	IPR001128	Cytochrome P450	SUPERFAMILY	SSF48264	\N	1	46,	520,	1.24E-92
121382	IPR002523	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	HMMPfam	PF01544	CorA-like Mg2+ transporter protein	2	401,610,	562,769,	3.9E-16,2.3E-21
121382	\N	\N	SUPERFAMILY	SSF143865	\N	2	390,617,	562,699,	2.48E-47,2.48E-47
121382	\N	\N	SUPERFAMILY	SSF144083	\N	1	709,	770,	2.35E-11
121385	IPR001563	Peptidase S10, serine carboxypeptidase	HMMPfam	PF00450	Serine carboxypeptidase	1	35,	455,	9.9E-105
121385	IPR001563	Peptidase S10, serine carboxypeptidase	PRINTS	PR00724	Carboxypeptidase C serine protease (S10) family signature	4	112,125,159,427,	124,135,184,440,	9.0E-22,9.0E-22,9.0E-22,9.0E-22
121385	IPR018202	Peptidase S10, serine carboxypeptidase, active site	ProSitePatterns	PS00131	Serine carboxypeptidases, serine active site.	1	173,	180,	-
121385	IPR018202	Peptidase S10, serine carboxypeptidase, active site	ProSitePatterns	PS00560	Serine carboxypeptidases, histidine active site.	1	427,	444,	-
121385	IPR029058	Alpha/Beta hydrolase fold	SUPERFAMILY	SSF53474	\N	1	25,	456,	9.39E-112
121387	IPR007248	Mpv17/PMP22	HMMPfam	PF04117	Mpv17 / PMP22 family	1	179,	243,	3.0E-23
121388	IPR018574	Structure-specific endonuclease subunit Slx4	HMMPfam	PF09494	Slx4 endonuclease	1	733,	794,	8.0E-15
121392	IPR029069	HotDog domain	SUPERFAMILY	SSF54637	\N	2	118,308,	269,474,	2.0E-17,7.47E-21
121393	IPR012336	Thioredoxin-like fold	HMMPfam	PF13462	Thioredoxin	1	15,	188,	1.5E-10
121393	IPR012336	Thioredoxin-like fold	SUPERFAMILY	SSF52833	\N	1	13,	206,	7.73E-21
121395	IPR017926	Glutamine amidotransferase	HMMPfam	PF00117	Glutamine amidotransferase class-I	1	315,	548,	1.3E-54
121395	IPR017456	CTP synthase, N-terminal	HMMPfam	PF06418	CTP synthase N-terminus	1	1,	272,	2.1E-120
121395	IPR017926	Glutamine amidotransferase	ProSiteProfiles	PS51273	Glutamine amidotransferase type 1 domain profile.	1	305,	558,	18.796
121395	IPR029062	Class I glutamine amidotransferase-like	SUPERFAMILY	SSF52317	\N	1	303,	555,	1.12E-65
121395	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	1	1,	270,	3.44E-118
121395	IPR004468	CTP synthase	TIGRFAM	TIGR00337	PyrG: CTP synthase	1	1,	551,	5.8E-237
121399	IPR021765	Protein of unknown function DUF3328	HMMPfam	PF11807	Domain of unknown function (DUF3328)	1	24,	203,	2.5E-26
121400	IPR000873	AMP-dependent synthetase/ligase	HMMPfam	PF00501	AMP-binding enzyme	1	137,	627,	9.9E-70
